特征ID,词汇
2425,jake
2426,james
2427,jan
2428,janet
2429,january
2430,japan
2431,japanese
2432,jason
2433,jay
2434,jays
2435,jb
2436,je
2437,jeff
2438,jefferson
2439,jehovah
2440,jerry
2441,jersey
2442,jerusalem
2443,jesus
2444,jet
2445,jets
2446,jew
2447,jewish
2448,jews
2449,jfif
2450,jhu
2451,jhunix
2452,jim
2453,job
2454,jobs
2455,joe
2456,joel
2457,john
2458,johnson
2459,join
2460,joint
2461,joke
2462,jon
2463,jonathan
2464,jones
2465,jose
2466,joseph
2467,josh
2468,journal
2469,jp
2470,jpeg
2471,jpl
2472,jr
2473,jsc
2474,judas
2475,judge
2476,judgement
2477,judges
2478,july
2479,jump
2480,jumper
2481,jumpers
2482,june
2483,jupiter
2484,just
2485,justice
2486,justification
2487,justified
2488,justify
2489,jvnc
2490,jz
2491,k8
2492,kaldis
2493,karabakh
2494,karina
2495,karl
2496,keep
2497,keeping
2498,keeps
2499,kei
2500,keith
2501,kelvin
2502,ken
2503,kenneth
2504,kent
2505,kept
2506,kevin
2507,key
2508,keyboard
2509,keys
2510,kg
2511,kh
2512,kid
2513,kids
2514,kill
2515,killed
2516,killing
2517,kind
2518,kinds
2519,king
2520,kingdom
2521,kings
2522,kinsey
2523,kit
2524,km
2525,kmr4
2526,kn
2527,knew
2528,knock
2529,know
2530,knowing
2531,knowledge
2532,known
2533,knows
2534,kodak
2535,koresh
2536,kpc
2537,ksu
2538,kth
2539,kurds
2540,kuwait
2541,la
2542,lab
2543,labor
2544,laboratory
2545,labs
2546,lack
2547,lady
2548,lake
2549,lance
2550,land
2551,lane
2552,lang
2553,language
2554,larc
2555,large
2556,largely
2557,larger
2558,largest
2559,larry
2560,larson
2561,laser
2562,last
2563,late
2564,later
2565,latest
2566,latter
2567,laugh
2568,launch
2569,launched
2570,laurentian
2571,law
2572,lawrence
2573,laws
2574,lawyer
2575,lay
2576,lbl
2577,lc
2578,lcs
2579,ld
2580,le
2581,lead
2582,leader
2583,leaders
2584,leadership
2585,leading
2586,leads
2587,leafs
2588,league
2589,learn
2590,learned
2591,learning
2592,least
2593,leave
2594,leaves
2595,leaving
2596,lebanese
2597,lebanon
2598,led
2599,lee
2600,left
2601,legal
2602,legally
2603,legislation
2604,legitimate
2605,lehigh
2606,leland
2607,lemieux
2608,length
2609,leo
2610,less
2611,let
2612,lets
2613,letter
2614,letters
2615,letting
2616,level
2617,levels
2618,lewis
2619,lib
2620,liberal
2621,libertarian
2622,liberties
2623,liberty
2624,libraries
2625,library
2626,libxmu
2627,license
2628,lie
2629,lies
2630,life
2631,lift
2632,light
2633,lights
2634,like
2635,liked
2636,likely
2637,limbaugh
2638,limit
2639,limited
2640,limits
2641,linac
2642,lindros
2643,line
2644,linear
2645,lines
2646,link
2647,linked
2648,linus
2649,linux
2650,liquid
2651,lis
2652,list
2653,listed
2654,listen
2655,listening
2656,listing
2657,lists
2658,listserv
2659,literally
2660,literature
2661,little
2662,live
2663,lived
2664,lives
2665,livesey
2666,living
2667,lj
2668,lk
2669,ll
2670,lll
2671,llnl
2672,load
2673,loaded
2674,local
2675,located
2676,location
2677,lock
2678,log
2679,logic
2680,logical
2681,login
2682,london
2683,long
2684,longer
2685,look
2686,looked
2687,looking
2688,looks
2689,loop
2690,loose
2691,lord
2692,los
2693,lose
2694,losing
2695,loss
2696,lost
2697,lot
2698,lots
2699,louis
2700,louisville
2701,love
2702,low
2703,lower
2704,lq
2705,ltd
2706,luck
2707,lucky
2708,luke
2709,lunar
2710,lying
2711,lynx
2712,m0
2713,m1
2714,m2
2715,m3
2716,m4
2717,m5
2718,m8
2719,m9
2720,m_
2721,ma
2722,mac
2723,machine
2724,machines
2725,macintosh
2726,made
2727,mag
2728,magazine
2729,magazines
2730,magic
2731,magnesium
2732,magnetic
2733,magnus
2734,mail
2735,mailing
2736,main
2737,maine
2738,mainly
2739,maintain
2740,maintained
2741,major
2742,majority
2743,make
2744,makes
2745,making
2746,malcolm
2747,male
2748,malgudi
2749,mamma
2750,man
2751,manage
2752,managed
2753,management
2754,manager
2755,manipulation
2756,manner
2757,mantis
2758,manual
2759,manuals
2760,manufacturer
2761,manufacturers
2762,many
2763,map
2764,maple
2765,mapping
2766,mar
2767,marc
2768,march
2769,mario
2770,mark
2771,market
2772,marketing
2773,marketplace
2774,marriage
2775,married
2776,mars
2777,martin
2778,mary
2779,mask
2780,mass
2781,massacre
2782,massive
2783,master
2784,match
2785,material
2786,materials
2787,math
2788,mathematical
2789,mathematics
2790,mathew
2791,matt
2792,matter
2793,matters
2794,matthew
2795,max
2796,maximum
2797,may
2798,maybe
2799,maynard
2800,mb
2801,mc
2802,mccall
2803,mcconkie
2804,mcgill
2805,mchp
2806,mcovingt
2807,mcrcim
2808,mcsun
2809,md
2810,me
2811,mean
2812,meaning
2813,means
2814,meant
2815,measure
2816,measures
2817,mechanical
2818,mechanism
2819,med
2820,media
2821,medical
2822,medicine
2823,medium
2824,meet
2825,meeting
2826,meg
2827,megs
2828,melkonian
2829,member
2830,members
2831,membership
2832,memorial
2833,memory
2834,men
2835,mental
2836,mention
2837,mentioned
2838,mentor
2839,menu
2840,menudo
2841,mercury
2842,mere
2843,merely
2844,message
2845,messages
2846,messiah
2847,met
2848,meta
2849,metal
2850,method
2851,methods
2852,metro
2853,mets
2854,mg
2855,mh
2856,mhz
2857,mi
2858,michael
2859,michigan
2860,micro
2861,microsoft
2862,mid
2863,middle
2864,mideast
2865,midway
2866,might
2867,mike
2868,mil
2869,mile
2870,miles
2871,military
2872,militia
2873,miller
2874,million
2875,millions
2876,milwaukee
2877,mimsy
2878,min
2879,mind
2880,minds
2881,mine
2882,minimum
2883,minister
2884,ministry
2885,minnesota
2886,minor
2887,minorities
2888,minority
2889,minute
2890,minutes
2891,mips
2892,mirror
2893,mirrors
2894,misc
2895,miss
2896,missed
2897,missing
2898,mission
2899,missions
2900,missouri
2901,mistake
2902,mistakes
2903,mit
2904,mitchell
2905,mitre
2906,mk
2907,ml
2908,mm
2909,mn
2910,mnemosyne
2911,mo
2912,mob
2913,mode
2914,model
2915,models
2916,modem
2917,modems
2918,modern
2919,modes
2920,modified
2921,modify
2922,module
2923,moe
2924,molecular
2925,moment
2926,mon
2927,monash
2928,monday
2929,money
2930,monitor
2931,monitors
2932,montana
2933,month
2934,monthly
2935,months
2936,montreal
2937,moon
2938,moral
2939,morality
2940,morals
2941,more
2942,morgan
2943,mormon
2944,mormons
2945,morning
2946,morris
2947,moses
2948,most
2949,mostly
2950,mot
2951,mother
2952,motherboard
2953,motif
2954,motion
2955,motivated
2956,motor
2957,motorcycle
2958,motorcycles
2959,motorola
2960,mount
2961,mountain
2962,mouse
2963,mouth
2964,mov
2965,move
2966,moved
2967,movement
2968,movie
2969,moving
2970,mp
2971,mph
2972,mps
2973,mq
2974,mr
2975,ms
2976,msdos
2977,msen
2978,msg
2979,msstate
2980,msu
2981,msuinfo
2982,msus
2983,mt
2984,mu
2985,much
2986,multi
2987,multimedia
2988,multiple
2989,mumbo
2990,munnari
2991,murder
2992,murdered
2993,murdoch
2994,murphy
2995,murray
2996,museum
2997,music
2998,muslim
2999,muslims
3000,must
3001,mutual
3002,mv
3003,mw
3004,mx
3005,my
3006,myers
3007,myself
3008,name
3009,named
3010,names
3011,nasa
3012,nation
3013,national
3014,nations
3015,native
3016,natural
3017,naturally
3018,nature
3019,naval
3020,navy
3021,nazi
3022,nazis
3023,nc
3024,ncar
3025,ncr
3026,ncsl
3027,ncsu
3028,nd
3029,ne
3030,neal
3031,near
3032,nearby
3033,nearly
3034,neat
3035,nec
3036,necessarily
3037,necessary
3038,neck
3039,need
3040,needed
3041,needs
3042,negative
3043,neighbor
3044,neighbors
3045,neil
3046,neither
3047,nelson
3048,net
3049,netcom
3050,netcomsv
3051,netnews
3052,netters
3053,network
3054,networks
3055,neutral
3056,never
3057,new
3058,newer
3059,news
3060,news2me
3061,newsflash
3062,newsgate
3063,newsgroup
3064,newsgroups
3065,newshost
3066,newshub
3067,newsletter
3068,newspaper
3069,newsserver
3070,newton
3071,next
3072,nhl
3073,nic
3074,nice
3075,nick
3076,nigel
3077,night
3078,nih
3079,nine
3080,nist
3081,nj
3082,nl
3083,nm
3084,nmsu
3085,nntp
3086,no
3087,noao
3088,nobody
3089,noc
3090,noise
3091,non
3092,none
3093,nonsense
3094,noose
3095,nor
3096,normal
3097,normally
3098,north
3099,northern
3100,norton
3101,norway
3102,not
3103,note
3104,noted
3105,notes
3106,nothing
3107,notice
3108,noticed
3109,notion
3110,nott
3111,nov
3112,novell
3113,november
3114,now
3115,nra
3116,ns
3117,ns1
3118,nsa
3119,nsmca
3120,nt
3121,nuclear
3122,null
3123,number
3124,numbers
3125,numerous
3126,nutrition
3127,nwnet
3128,nwu
3129,ny
3130,nyi
3131,nyr
3132,nyx
3133,nz
3134,oac
3135,oakland
3136,oar
3137,object
3138,objective
3139,objectively
3140,objects
3141,obo
3142,observation
3143,observations
3144,observe
3145,observed
3146,observer
3147,obtain
3148,obtained
3149,obvious
3150,obviously
3151,occupation
3152,occupied
3153,occur
3154,occurred
3155,occurs
3156,october
3157,odd
3158,odin
3159,of
3160,off
3161,offense
3162,offensive
3163,offer
3164,offered
3165,offers
3166,office
3167,officer
3168,officers
3169,official
3170,officials
3171,offset
3172,often
3173,ogicse
3174,oh
3175,ohanus
3176,ohio
3177,oil
3178,ok
3179,okay
3180,okstate
3181,old
3182,older
3183,olivea
3184,on
3185,oname
3186,once
3187,one
3188,ones
3189,online
3190,only
3191,ontario
3192,onto
3193,open
3194,opened
3195,opening
3196,openwindows
3197,operate
3198,operating
3199,operation
3200,operations
3201,opinion
3202,opinions
3203,opportunities
3204,opportunity
3205,opposed
3206,opposite
3207,opposition
3208,optilink
3209,option
3210,optional
3211,options
3212,or
3213,oracle
3214,orbit
3215,orbital
3216,orbiter
3217,order
3218,ordered
3219,orders
3220,ordinary
3221,org
3222,organization
3223,organizations
3224,organized
3225,orientation
3226,oriented
3227,origin
3228,original
3229,originally
3230,origins
3231,orion
3232,orst
3233,orthodox
3234,os
3235,os2
3236,osf
3237,osuunx
3238,ot
3239,other
3240,others
3241,otherwise
3242,ott
3243,ottawa
3244,ottoman
3245,ought
3246,oulu
3247,our
3248,ourselves
3249,out
3250,output
3251,outside
3252,over
3253,overall
3254,own
3255,owned
3256,owner
3257,owners
3258,oz
3259,p1
3260,p2
3261,p3
3262,pa
3263,pacbell
3264,pacific
3265,pack
3266,package
3267,packages
3268,packard
3269,packet
3270,pad
3271,pagan
3272,page
3273,pages
3274,paid
3275,pain
3276,paint
3277,pair
3278,pakistan
3279,paladin
3280,palestine
3281,palestinian
3282,palestinians
3283,palmer
3284,panel
3285,panix
3286,paper
3287,papers
3288,paragraph
3289,parallel
3290,parameters
3291,paranoid
3292,parent
3293,parents
3294,park
3295,part
3296,participate
3297,particular
3298,particularly
3299,parties
3300,parts
3301,party
3302,pass
3303,passage
3304,passages
3305,passed
3306,passenger
3307,passes
3308,passing
3309,password
3310,past
3311,pat
3312,patch
3313,patches
3314,path
3315,patient
3316,patients
3317,patrick
3318,pattern
3319,paul
3320,pay
3321,paying
3322,pc
3323,pcs
3324,pd
3325,peace
3326,peachnet
3327,penalties
3328,penalty
3329,penguins
3330,pens
3331,people
3332,per
3333,percent
3334,percentage
3335,perfect
3336,perfectly
3337,perform
3338,performance
3339,performed
3340,perhaps
3341,period
3342,periphs
3343,permanent
3344,permission
3345,permit
3346,perry
3347,persecution
3348,person
3349,personal
3350,personally
3351,personnel
3352,persons
3353,perspective
3354,pete
3355,peter
3356,pgp
3357,ph
3358,phase
3359,phi
3360,phigs
3361,phil
3362,philadelphia
3363,philips
3364,phill
3365,philosophy
3366,phoenix
3367,phone
3368,phones
3369,photo
3370,phrase
3371,physical
3372,physics
3373,pick
3374,picked
3375,picture
3376,pictures
3377,piece
3378,pieces
3379,pilot
3380,pin
3381,pins
3382,pioneer
3383,pipex
3384,pit
3385,pitch
3386,pitcher
3387,pitching
3388,pitt
3389,pittsburgh
3390,pixel
3391,pixels
3392,pl
3393,place
3394,placed
3395,places
3396,plain
3397,plaintext
3398,plan
3399,plane
3400,planes
3401,planet
3402,planetary
3403,planets
3404,planned
3405,planning
3406,plans
3407,plant
3408,plastic
3409,plate
3410,platform
3411,platforms
3412,play
3413,played
3414,player
3415,players
3416,playing
3417,playoff
3418,playoffs
3419,plays
3420,please
3421,plenty
3422,plot
3423,plug
3424,plus
3425,pluto
3426,pm
3427,po
3428,point
3429,pointed
3430,pointing
3431,points
3432,police
3433,policies
3434,policy
3435,political
3436,politics
3437,polygon
3438,pool
3439,poor
3440,pop
3441,pope
3442,popular
3443,population
3444,port
3445,portable
3446,portal
3447,portion
3448,ports
3449,position
3450,positions
3451,positive
3452,possibility
3453,possible
3454,possibly
3455,post
3456,posted
3457,poster
3458,posting
3459,postings
3460,posts
3461,postscript
3462,potential
3463,pounds
3464,power
3465,powerful
3466,powers
3467,pp
3468,practical
3469,practice
3470,practices
3471,pray
3472,prayer
3473,pre
3474,precisely
3475,predict
3476,predictions
3477,prefer
3478,preferred
3479,prepared
3480,presence
3481,present
3482,presented
3483,president
3484,press
3485,pressure
3486,presumably
3487,pretty
3488,prevent
3489,prevention
3490,previous
3491,previously
3492,price
3493,prices
3494,priest
3495,primarily
3496,primary
3497,primate
3498,prime
3499,princeton
3500,principle
3501,principles
3502,print
3503,printed
3504,printer
3505,printers
3506,printf
3507,printing
3508,prior
3509,prism
3510,privacy
3511,private
3512,pro
3513,probability
3514,probably
3515,probe
3516,probes
3517,problem
3518,problems
3519,procedure
3520,procedures
3521,proceeded
3522,proceedings
3523,process
3524,processes
3525,processing
3526,processor
3527,produce
3528,produced
3529,produces
3530,product
3531,production
3532,products
3533,professional
3534,professor
3535,profit
3536,program
3537,programmer
3538,programming
3539,programs
3540,progress
3541,project
3542,projects
3543,promise
3544,promised
3545,promote
3546,proof
3547,propaganda
3548,proper
3549,properly
3550,properties
3551,property
3552,prophecy
3553,prophet
3554,prophets
3555,proposal
3556,proposed
3557,propulsion
3558,protect
3559,protected
3560,protection
3561,protocol
3562,proud
3563,prove
3564,proved
3565,proven
3566,provide
3567,provided
3568,provides
3569,providing
3570,ps
3571,psalm
3572,psalms
3573,psinntp
3574,psu
3575,psuvax1
3576,psuvm
3577,psychology
3578,pt
3579,pts
3580,pu
3581,pub
3582,public
3583,publication
3584,publicly
3585,publish
3586,published
3587,puck
3588,pull
3589,pulled
3590,punishment
3591,purchase
3592,purchased
3593,purdue
3594,pure
3595,purely
3596,purpose
3597,purposes
3598,push
3599,pushed
3600,put
3601,puts
3602,putting
3603,pyramid
3604,qax
3605,ql
3606,qq
3607,qs
3608,quadra
3609,quality
3610,quantum
3611,que
3612,quebec
3613,question
3614,questions
3615,quick
3616,quickly
3617,quicktime
3618,quiet
3619,quit
3620,quite
3621,quote
3622,quoted
3623,quotes
3624,qur
3625,qy
3626,r4
3627,r5
3628,ra
3629,race
3630,radar
3631,radiation
3632,radio
3633,radius
3634,raid
3635,rain
3636,raise
3637,raised
3638,ram
3639,ramsey
3640,ran
3641,random
3642,randy
3643,range
3644,rangers
3645,rape
3646,rare
3647,rarely
3648,rat
3649,rate
3650,rates
3651,rather
3652,ratio
3653,rational
3654,raw
3655,ray
3656,rd
3657,re
3658,reach
3659,reached
3660,reaction
3661,read
3662,reader
3663,readers
3664,reading
3665,readme
3666,reads
3667,ready
3668,real
3669,reality
3670,realize
3671,realized
3672,really
3673,rear
3674,reason
3675,reasonable
3676,reasonably
3677,reasoning
3678,reasons
3679,rec
3680,recall
3681,receive
3682,received
3683,receiver
3684,receiving
3685,recent
3686,recently
3687,recognize
3688,recognized
3689,recommend
3690,recommended
3691,record
3692,recorded
3693,records
3694,red
3695,reduce
3696,reduced
3697,reed
3698,refer
3699,reference
3700,references
3701,referred
3702,referring
3703,reflect
3704,refuse
3705,refused
3706,regard
3707,regarding
3708,regardless
3709,regards
3710,region
3711,regional
3712,register
3713,registered
3714,registration
3715,regular
3716,regularly
3717,reject
3718,rejected
3719,related
3720,relating
3721,relations
3722,relationship
3723,relative
3724,relatively
3725,relay
3726,release
3727,released
3728,relevant
3729,reliable
3730,religion
3731,religions
3732,religious
3733,rely
3734,remain
3735,remaining
3736,remains
3737,remark
3738,remarks
3739,remember
3740,remote
3741,remove
3742,removed
3743,removing
3744,rendering
3745,reno
3746,rent
3747,repair
3748,repeat
3749,repeated
3750,repeatedly
3751,replace
3752,replaced
3753,replacement
3754,replies
3755,reply
3756,report
3757,reported
3758,reports
3759,represent
3760,representatives
3761,represents
3762,republic
3763,request
3764,requested
3765,requests
3766,require
3767,required
3768,requirement
3769,requirements
3770,requires
3771,research
3772,researchers
3773,reserve
3774,reserved
3775,resistance
3776,resolution
3777,resource
3778,resources
3779,respect
3780,respond
3781,responded
3782,responding
3783,response
3784,responses
3785,responsibility
3786,responsible
3787,rest
3788,reston
3789,result
3790,resulting
3791,results
3792,resurrection
3793,return
3794,returned
3795,returns
3796,rev
3797,revealed
3798,revelation
3799,reverse
3800,review
3801,revolution
3802,rf
3803,rg
3804,rgb
3805,rice
3806,rich
3807,richard
3808,rick
3809,rid
3810,ride
3811,rider
3812,ridiculous
3813,riding
3814,right
3815,righteous
3816,rights
3817,ring
3818,rings
3819,ripem
3820,rise
3821,risk
3822,risks
3823,rit
3824,river
3825,rl
3826,rlk
3827,rm
3828,road
3829,roads
3830,rob
3831,robert
3832,rochester
3833,rock
3834,rockefeller
3835,rocket
3836,roger
3837,role
3838,roll
3839,rom
3840,roman
3841,romans
3842,ron
3843,room
3844,root
3845,rose
3846,roughly
3847,round
3848,route
3849,routine
3850,routines
3851,row
3852,roy
3853,royalroads
3854,rpi
3855,rs
3856,rsa
3857,rt
3858,rtsg
3859,rule
3860,rules
3861,run
3862,running
3863,runs
3864,rush
3865,russell
3866,russia
3867,russian
3868,russians
3869,russotto
3870,rutgers
3871,rw
3872,rwing
3873,rx
3874,ryan
3875,rz
3876,s0g
3877,s1
3878,s2
3879,s3
3880,sabres
3881,sacrifice
3882,sad
3883,safe
3884,safety
3885,sahak
3886,said
3887,saimiri
3888,saint
3889,sake
3890,sale
3891,sales
3892,salt
3893,salvation
3894,sam
3895,same
3896,sample
3897,san
3898,sandvik
3899,santa
3900,sas
3901,sat
3902,satan
3903,satellite
3904,satellites
3905,saturday
3906,saturn
3907,save
3908,saved
3909,saves
3910,saving
3911,saw
3912,say
3913,saying
3914,says
3915,sb
3916,sc
3917,scale
3918,scan
3919,scene
3920,schedule
3921,scheduled
3922,scheme
3923,scholars
3924,school
3925,schools
3926,sci
3927,science
3928,sciences
3929,scientific
3930,scientist
3931,scientists
3932,score
3933,scored
3934,scorer
3935,scores
3936,scoring
3937,scott
3938,screen
3939,screw
3940,script
3941,scripture
3942,scriptures
3943,scsi
3944,sdd
3945,sdpa
3946,se
3947,sea
3948,sean
3949,search
3950,seas
3951,season
3952,seat
3953,seats
3954,seattle
3955,sec
3956,second
3957,seconds
3958,secret
3959,secretary
3960,section
3961,sections
3962,sector
3963,secular
3964,secure
3965,security
3966,see
3967,seeing
3968,seek
3969,seem
3970,seemed
3971,seems
3972,seen
3973,sei
3974,select
3975,selected
3976,selection
3977,self
3978,sell
3979,selling
3980,sells
3981,semi
3982,senate
3983,senator
3984,send
3985,sending
3986,senior
3987,sense
3988,sent
3989,sentence
3990,separate
3991,sept
3992,september
3993,sequence
3994,sera
3995,serbs
3996,serdar
3997,serial
3998,series
3999,serious
4000,seriously
4001,serve
4002,served
4003,server
4004,servers
4005,service
4006,services
4007,serving
4008,session
4009,sessions
4010,set
4011,sets
4012,setting
4013,settings
4014,setup
4015,seven
4016,several
4017,severe
4018,sex
4019,sexual
4020,sf
4021,sfu
4022,sg
4023,sgi
4024,sgiblab
4025,sgigate
4026,sh
4027,shaft
4028,shall
4029,shape
4030,share
4031,shared
4032,shareware
4033,sharks
4034,sharp
4035,she
4036,shell
4037,shift
4038,ship
4039,shipping
4040,shit
4041,shoot
4042,shooting
4043,shop
4044,short
4045,shot
4046,shots
4047,should
4048,shouldn
4049,shouting
4050,show
4051,showed
4052,showing
4053,shown
4054,shows
4055,shut
4056,shuttle
4057,si
4058,sick
4059,side
4060,sides
4061,sig
4062,sight
4063,sign
4064,signal
4065,signals
4066,signature
4067,signed
4068,significant
4069,significantly
4070,signs
4071,silence
4072,silicon
4073,silly
4074,silver
4075,similar
4076,similarly
4077,simms
4078,simon
4079,simple
4080,simply
4081,simtel20
4082,sin
4083,since
4084,single
4085,sins
4086,sir
4087,sit
4088,site
4089,sites
4090,sitting
4091,situation
4092,situations
4093,six
4094,size
4095,sj
4096,sk
4097,skeptic
4098,skepticism
4099,skills
4100,skin
4101,sky
4102,sl
4103,slaughter
4104,slave
4105,sleep
4106,slide
4107,slightly
4108,slip
4109,slot
4110,slow
4111,slower
4112,slowly
4113,small
4114,smaller
4115,smart
4116,smith
4117,smoke
4118,smoking
4119,snail
4120,sni
4121,snow
4122,so
4123,soc
4124,social
4125,society
4126,socket
4127,soft
4128,software
4129,sol
4130,solar
4131,sold
4132,soldiers
4133,solid
4134,solntze
4135,solution
4136,solutions
4137,solve
4138,some
4139,somebody
4140,somehow
4141,someone
4142,something
4143,sometimes
4144,somewhat
4145,somewhere
4146,son
4147,sony
4148,soon
4149,sorry
4150,sort
4151,sorts
4152,soul
4153,sound
4154,sounds
4155,source
4156,sources
4157,south
4158,southern
4159,soviet
4160,sox
4161,sp
4162,space
4163,spacecraft
4164,sparc
4165,spare
4166,speak
4167,speakers
4168,speaking
4169,spec
4170,special
4171,specific
4172,specifically
4173,specified
4174,specify
4175,specs
4176,spectrum
4177,speech
4178,speed
4179,speeds
4180,spencer
4181,spend
4182,spending
4183,spent
4184,spirit
4185,spiritual
4186,split
4187,spoke
4188,spool
4189,sport
4190,sports
4191,spot
4192,spread
4193,spring
4194,sq
4195,square
4196,sr
4197,srv
4198,ss
4199,ssd
4200,st
4201,stable
4202,staff
4203,stage
4204,stand
4205,standard
4206,standards
4207,standing
4208,stands
4209,stanford
4210,stanley
4211,star
4212,stars
4213,start
4214,started
4215,starting
4216,starts
4217,startup
4218,stat
4219,state
4220,stated
4221,statement
4222,statements
4223,states
4224,stating
4225,station
4226,stations
4227,statistics
4228,stats
4229,status
4230,stay
4231,std
4232,stealth
4233,steering
4234,stein
4235,step
4236,stephanopoulos
4237,stephen
4238,steps
4239,stereo
4240,sternlight
4241,steve
4242,steven
4243,stick
4244,still
4245,stl
4246,stock
4247,stolen
4248,stone
4249,stood
4250,stop
4251,stopped
4252,storage
4253,store
4254,stored
4255,stories
4256,storm
4257,story
4258,straight
4259,strange
4260,strategy
4261,stratus
4262,stream
4263,street
4264,strength
4265,strictly
4266,strike
4267,string
4268,strip
4269,strnlght
4270,strong
4271,stronger
4272,strongly
4273,structure
4274,struggle
4275,stuck
4276,student
4277,students
4278,studies
4279,study
4280,stuff
4281,stupid
4282,stupidity
4283,style
4284,su
4285,sub
4286,subject
4287,subjective
4288,submit
4289,subscribe
4290,substance
4291,substantial
4292,success
4293,successful
4294,such
4295,suddenly
4296,suffer
4297,suffered
4298,suffering
4299,sufficient
4300,suggest
4301,suggested
4302,suggestion
4303,suggestions
4304,suggests
4305,suicide
4306,suit
4307,suitable
4308,suite
4309,sumgait
4310,summary
4311,summer
4312,sun
4313,sun4nl
4314,sunday
4315,sunic
4316,sunos
4317,super
4318,superior
4319,supply
4320,support
4321,supported
4322,supporting
4323,supports
4324,suppose
4325,supposed
4326,supposedly
4327,supreme
4328,sura
4329,sure
4330,surely
4331,surface
4332,surgery
4333,surprise
4334,surprised
4335,surrender
4336,survey
4337,survive
4338,suspect
4339,svga
4340,svr4
4341,sw
4342,swap
4343,sweden
4344,switch
4345,switches
4346,switching
4347,switzerland
4348,swrinde
4349,symptoms
4350,syndrome
4351,syria
4352,sys
4353,system
4354,systems
4355,t7
4356,table
4357,take
4358,taken
4359,takes
4360,taking
4361,talk
4362,talked
4363,talking
4364,talks
4365,tamsun
4366,tamu
4367,tank
4368,tanks
4369,tap
4370,tape
4371,tapes
4372,tar
4373,target
4374,task
4375,taste
4376,taught
4377,taurus
4378,tax
4379,taxes
4380,taylor
4381,tb
4382,tc
4383,tcp
4384,te
4385,teach
4386,teacher
4387,teaching
4388,teachings
4389,team
4390,teams
4391,tear
4392,tech
4393,technical
4394,technique
4395,techniques
4396,technologies
4397,technology
4398,ted
4399,tek
4400,tel
4401,telephone
4402,telescope
4403,television
4404,tell
4405,telling
4406,tells
4407,telnet
4408,temperature
4409,temple
4410,temporary
4411,ten
4412,tend
4413,tends
4414,term
4415,terminal
4416,terms
4417,terrible
4418,territories
4419,territory
4420,terrorism
4421,terrorist
4422,terrorists
4423,terry
4424,test
4425,testament
4426,tested
4427,testimony
4428,testing
4429,tests
4430,texas
4431,text
4432,texts
4433,th
4434,than
4435,thank
4436,thanks
4437,thanx
4438,that
4439,the
4440,thee
4441,their
4442,theism
4443,theists
4444,them
4445,themselves
4446,then
4447,theology
4448,theories
4449,theory
4450,there
4451,therefore
4452,thermal
4453,these
4454,they
4455,thing
4456,things
4457,think
4458,thinking
4459,thinks
4460,third
4461,this
4462,thomas
4463,thor
4464,those
4465,thou
4466,though
4467,thought
4468,thoughts
4469,thousand
4470,thousands
4471,thread
4472,threat
4473,three
4474,threw
4475,through
4476,throughout
4477,throw
4478,throwing
4479,thrown
4480,thru
4481,thunder
4482,thursday
4483,thus
4484,thy
4485,ti
4486,ticket
4487,tickets
4488,tie
4489,tied
4490,tiff
4491,tilde
4492,till
4493,tim
4494,time
4495,times
4496,timing
4497,timothy
4498,tiny
4499,tire
4500,tired
4501,tires
4502,titan
4503,title
4504,tl
4505,tm
4506,tn
4507,to
4508,tobacco
4509,today
4510,todd
4511,together
4512,told
4513,tom
4514,tommy
4515,tomorrow
4516,tone
4517,tonight
4518,tony
4519,too
4520,took
4521,tool
4522,toolkit
4523,tools
4524,top
4525,topic
4526,topics
4527,tor
4528,torn
4529,toronto
4530,total
4531,totally
4532,touch
4533,tough
4534,toward
4535,towards
4536,tower
4537,town
4538,toyota
4539,tq
4540,trace
4541,track
4542,trade
4543,traded
4544,tradition
4545,traditional
4546,traffic
4547,tragedy
4548,train
4549,training
4550,transfer
4551,translation
4552,transmission
4553,travel
4554,treat
4555,treated
4556,treatment
4557,tree
4558,trial
4559,trick
4560,tried
4561,tries
4562,trip
4563,troops
4564,trouble
4565,truck
4566,true
4567,truly
4568,trust
4569,truth
4570,trw
4571,try
4572,trying
4573,tt
4574,tu
4575,tube
4576,tue
4577,tuesday
4578,turbo
4579,turkey
4580,turkish
4581,turks
4582,turn
4583,turned
4584,turning
4585,turns
4586,tv
4587,tw
4588,twenty
4589,twice
4590,two
4591,tx
4592,type
4593,types
4594,typical
4595,typically
4596,typing
4597,ualberta
4598,ub
4599,ubc
4600,uc
4601,ucc
4602,ucdavis
4603,uchicago
4604,uchinews
4605,uci
4606,ucla
4607,ucs
4608,ucsc
4609,ucsd
4610,ucsu
4611,udel
4612,ufl
4613,uga
4614,uh
4615,uic
4616,uicvm
4617,uio
4618,uiowa
4619,uiuc
4620,uk
4621,uka
4622,ukma
4623,uknet
4624,ulowell
4625,ultb
4626,ultimate
4627,ultra
4628,ulysses
4629,um
4630,umanitoba
4631,umass
4632,umd
4633,umich
4634,umn
4635,un
4636,unable
4637,unc
4638,und
4639,under
4640,understand
4641,understanding
4642,understood
4643,unfortunately
4644,uni
4645,union
4646,unique
4647,unit
4648,united
4649,units
4650,univ
4651,universal
4652,universe
4653,university
4654,unix
4655,unixg
4656,unknown
4657,unless
4658,unlike
4659,unlikely
4660,unm
4661,until
4662,unto
4663,unusual
